plant_sp,site,avg_fw
ACMI2,SWMREC,0.44
AMCA6,SWMREC,2.56
ASTU,SWMREC,0.64
ASVE,SWMREC,0.36
CARO2,SWMREC,1.96
CEAM,SWMREC,1.76
CESTM,SWMREC,1.3
COLA5,SWMREC,4.8
COPA10,SWMREC,3.66
COTR4,SWMREC,3.46
DAFR6,SWMREC,1.5
DAPU5,SWMREC,0.7
ECPU,SWMREC,7.16
ERYU,SWMREC,1.58
HERI,SWMREC,0.42
HEOC2,SWMREC,3.58
HEST,SWMREC,8.16
HIGR3,SWMREC,1.22
HYPR,SWMREC,1.52
LECA8,SWMREC,0.46
LEHI2,SWMREC,0.34
LIAS,SWMREC,2.8
LICY,SWMREC,1.54
LOCO6,SWMREC,0.8
MOFI,SWMREC,3.7
MOPU,SWMREC,0.8
OEFR,SWMREC,2.3
OEBI,SWMREC,2.14
OLRI,SWMREC,0.74
PEHI,SWMREC,0.8
PEDI,SWMREC,1.42
POAR7,SWMREC,1.36
POSI2,SWMREC,1.12
PYPI,SWMREC,0.4
PYVI,SWMREC,0.34
RAPI,SWMREC,4.6
RHCO,SWMREC,0.22
RUHI2,SWMREC,6.76
SEOB2,SWMREC,1.6
SIIN2,SWMREC,7.2
SITE,SWMREC,5
SOJU,SWMREC,0.3
SONE,SWMREC,0.36
SYSE2,SWMREC,1.62
TROH,SWMREC,3.26
VEST,SWMREC,0.84
ACMI2,CRC,0.48
AMCA6,CRC,0.2
ASSY,CRC,0.72
ASTU,CRC,0.96
ASVE,CRC,0.5
CARO2,CRC,1.44
CESTM,CRC,2.58
CHANA2,CRC,1.9
COLA5,CRC,5.26
COPA10,CRC,4.2
COTR4,CRC,4.14
DAFR6,CRC,1.54
DAPU5,CRC,0.96
ECPU,CRC,9.28
ERYU,CRC,2.06
HEOC2,CRC,4.52
HERI,CRC,0.42
HEST,CRC,9.36
HIGR3,CRC,0.88
HYPR,CRC,1.52
LIAS,CRC,2.8
LICY,CRC,1.56
LOCO6,CRC,0.88
MOFI,CRC,4.1
MOPU,CRC,1.12
OEFR,CRC,3.06
OLRI,CRC,0.74
PEDI,CRC,2.1
PEHI,CRC,1.04
POSI2,CRC,1.14
PYVI,CRC,0.44
RAPI,CRC,6.5
RUHI2,CRC,7.16
SEOB2,CRC,1.96
SIIN2,CRC,5.8
SILA3,CRC,5.06
SITE,CRC,6.84
SOJU,CRC,0.3
SONE,CRC,0.58
SOSP2,CRC,0.46
SYOO,CRC,1.62
TROH,CRC,3.14
VEST,CRC,0.82
SOSP2,SWMREC,0.5
SYOO,SWMREC,1.62
SYSE2,CRC,1.62
ACMI2,NWMHRC,0.58
AMCA6,NWMHRC,0.28
ASSY,NWMHRC,0.78
ASTU,NWMHRC,1.04
ASVE,NWMHRC,0.44
CARO2,NWMHRC,1.98
CEAM,NWMHRC,2
CESTM,NWMHRC,1.98
COLA5,NWMHRC,4.92
CHANA2,NWMHRC,1.9
COPA10,NWMHRC,4.3
COTR4,NWMHRC,4.1
DAFR6,NWMHRC,1.96
DAPU5,NWMHRC,0.84
ECPU,NWMHRC,8.14
ERYU,NWMHRC,2.18
HERI,NWMHRC,0.48
HEOC2,NWMHRC,3.72
HEST,NWMHRC,7.02
HYPR,NWMHRC,2.02
LECA8,NWMHRC,0.46
LEHI2,NWMHRC,0.52
LICY,NWMHRC,2.14
LOCO6,NWMHRC,1.24
MOFI,NWMHRC,4.74
MOPU,NWMHRC,1.08
OEFR,NWMHRC,3.12
OLRI,NWMHRC,0.86
PEDI,NWMHRC,2.06
PEHI,NWMHRC,2.84
POAR7,NWMHRC,1.7
POSI2,NWMHRC,1.18
PYPI,NWMHRC,0.4
PYVI,NWMHRC,0.42
RAPI,NWMHRC,4.62
RUHI2,NWMHRC,5.4
SIIN2,NWMHRC,6.1
SEOB2,NWMHRC,1.75
SILA3,NWMHRC,6.32
SITE,NWMHRC,5.45
SONE,NWMHRC,0.5
SOJU,NWMHRC,0.3
SOSP2,NWMHRC,0.6
SYOO,NWMHRC,2.34
SYSE2,NWMHRC,3.74
TROH,NWMHRC,4.14
VEST,NWMHRC,1.1